LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Physcomitrella patens	na	Kleines Blasenmützenmoos	Plantae	Bryophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella
Riccia bifurca	na	na	Plantae	Bryophyta	Marchantiopsoda	Marchantiales	Ricciaceae	Riccia
Pottia davalliana	smallest Pottia	na	Plantae	Bryophyta	Bryopsida	Bryales	Pottiaceae	Pottia
Riccia cavernosa	na	na	Plantae	Bryophyta	Marchantiopsoda	Marchantiales	Ricciaceae	Riccia
Thuidium abietinum	wiry fern moss	Echtes Tannen-Thujamoos, Echtes Tannenmoos, Tannenmoos, Tännchenmoos	Plantae	Bryophyta	Bryopsida	Thuidales	Thuidiaceae	Thuidium
Clinopodium acinos	Basil Thyme	Feld-Steinquendel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Clinopodium
Aethusa cynapium	Fools parsley, fools cicely, poison parsley	Hundspetersilie	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Aethusa
Erigeron annuus	annual fleabane, daisy fleabane, eastern daisy fleabane	Feinstrahl, Weißes Berufkraut, Einjähriges Berufkraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Erigeron
Euphorbia peplus	petty spurge, radium weed, cancer weed, milkweed	Garten-Wolfsmilch	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia
Fumaria officinalis	Common Fumitory, Earth smoke	Gewöhnlicher Erdrauch, Gemeiner Erdrauch	Plantae	Tracheophyta	Magnoliopsida	Papaverales	Fumariaceae	Fumaria
Gnaphalium sylvaticum	heath cudweed, wood cudweed, golden motherwort, chafeweed, owls crown	Wald-Ruhrkraut	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Gnaphalium
Juncus	rushes	Binsen, Simsen	Plantae	Tracheophyta	Liliopsida	Poales	Juncaceae	Juncus
Chaenorhinum minus subsp. minus	Dwarf Snapdragon	Kleines Löwenmaul	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Chaenorhinum
Odontites vernus	red bartsia	Frühlings-Zahntrost, Acker-Zahntrost, Früher Roter Zahntrost	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Orobanchaceae	Odontites
Origanum vulgare	Oregano, wild marjoram	Oregano, Dost, Echter Dost, Gemeiner Dost, Wohlgemut, Wilder Majoran	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Origanum
Rhinanthus minor	Yellow rattle, cockscomb	Kleiner Klappertopf	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Rhinanthus
Sonchus asper	sharp-fringed sow thistle, prickly sow-thistle, spiny sow thistle, spiny-leaved sow thistle	Raue Gänsedistel	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Sonchus
Narcissus pseudonarcissus	wild daffodil, Lent lily	Gelbe Narzisse, Osterglocke, Osterglöckchen, Falscher Narzissus, Trompeten-Narzisse	Plantae	Tracheophyta	Liliopsida	Asparagales	Amaryllidaceae	Narcissus
Potentilla recta	Sulphur Cinquefoil, Rough-fruited Cinquefoil	Hohes Fingerkraut, Aufrechtes Fingerkraut	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Potentilla
Spergularia	sea-spurreys, sandspurrys	Schuppenmieren	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Spergularia
Bromus ramosus	hairy brome	Wald-Trespe, Hafergras, Wildhafer, Späte Wald-Trespe, Wilde Waldtrespe	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bromus
Bromus benekenii	Lesser hairy-brome	na	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Bromus
Callitriche palustris	na	Sumpf-Wasserstern, Frühlings-Wasserstern	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Callitriche
Calamagrostis varia	na	Berg-Reitgras, Buntes Reitgras	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Calamagrostis
Calamagrostis acutiflora	na	na	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Calamagrostis
Campanula persicifolia	peach-leaved bellflower	Pfirsichblättrige Glockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Campanula
